0.08, 0.45, 0.08, 0.04
0.02, 0.37, 0.06, 0.04
0.16, 0.45, 0.08, 0.00
0.38, 0.74, 0.11, 0.08
0.22, 0.74, 0.08, 0.08
0.33, 0.91, 0.06, 0.04
0.63, 0.37, 0.61, 0.50
0.25, 0.29, 0.49, 0.54
0.36, 0.41, 0.59, 0.58
0.41, 0.29, 0.52, 0.37
0.47, 0.29, 0.69, 0.62
0.52, 0.58, 0.74, 0.91
0.44, 0.41, 0.69, 0.70
0.49, 0.25, 0.77, 0.54
0.94, 0.41, 0.86, 0.91
0.55, 0.29, 0.66, 0.70
0.52, 0.37, 0.55, 0.50
0.22, 0.20, 0.33, 0.41
0.47, 0.58, 0.59, 0.62
0.44, 0.41, 0.54, 0.58
0.47, 0.08, 0.50, 0.37
0.30, 0.79, 0.05, 0.12
0.22, 0.62, 0.06, 0.08
0.25, 0.58, 0.06, 0.04
0.11, 0.50, 0.10, 0.04
0.66, 0.41, 0.71, 0.91
0.55, 0.20, 0.67, 0.75
0.49, 0.41, 0.66, 0.70
0.94, 0.74, 0.96, 0.87
0.55, 0.37, 0.77, 0.70
0.30, 0.79, 0.05, 0.12
0.61, 0.41, 0.81, 0.87
0.49, 0.25, 0.77, 0.54
0.05, 0.12, 0.05, 0.08
0.33, 0.16, 0.45, 0.37
0.66, 0.54, 0.79, 1.00
0.22, 0.62, 0.06, 0.04
0.33, 0.12, 0.50, 0.50
0.41, 0.29, 0.69, 0.75
0.22, 0.20, 0.33, 0.41
