0.22, 0.62, 0.06, 0.04
0.16, 0.41, 0.06, 0.04
0.11, 0.50, 0.05, 0.04
0.08, 0.45, 0.08, 0.04
0.19, 0.66, 0.06, 0.04
0.30, 0.79, 0.11, 0.12
0.08, 0.58, 0.06, 0.08
0.19, 0.58, 0.08, 0.04
0.02, 0.37, 0.06, 0.04
0.16, 0.45, 0.08, -0.00
0.30, 0.70, 0.08, 0.04
0.13, 0.58, 0.10, 0.04
0.13, 0.41, 0.06, -0.00
0.00, 0.41, 0.01, -0.00
0.41, 0.83, 0.03, 0.04
0.38, 1.00, 0.08, 0.12
0.30, 0.79, 0.05, 0.12
0.22, 0.62, 0.06, 0.08
0.38, 0.74, 0.11, 0.08
0.22, 0.74, 0.08, 0.08
0.30, 0.58, 0.11, 0.04
0.22, 0.70, 0.08, 0.12
0.08, 0.66, 0.00, 0.04
0.22, 0.54, 0.11, 0.16
0.13, 0.58, 0.15, 0.04
0.19, 0.41, 0.10, 0.04
0.19, 0.58, 0.10, 0.12
0.25, 0.62, 0.08, 0.04
0.25, 0.58, 0.06, 0.04
0.11, 0.50, 0.10, 0.04
0.13, 0.45, 0.10, 0.04
0.30, 0.58, 0.08, 0.12
0.25, 0.87, 0.08, -0.00
0.33, 0.91, 0.06, 0.04
0.16, 0.45, 0.08, -0.00
0.19, 0.50, 0.03, 0.04
0.33, 0.62, 0.05, 0.04
0.16, 0.45, 0.08, -0.00
0.02, 0.41, 0.05, 0.04
0.22, 0.58, 0.08, 0.04
0.19, 0.62, 0.05, 0.08
0.05, 0.12, 0.05, 0.08
0.02, 0.50, 0.05, 0.04
0.19, 0.62, 0.10, 0.20
0.22, 0.74, 0.15, 0.12
0.13, 0.41, 0.06, 0.08
0.22, 0.74, 0.10, 0.04
0.08, 0.50, 0.06, 0.04
0.27, 0.70, 0.08, 0.04
0.19, 0.54, 0.06, 0.04
0.74, 0.50, 0.62, 0.54
0.58, 0.50, 0.59, 0.58
0.72, 0.45, 0.66, 0.58
0.33, 0.12, 0.50, 0.50
0.61, 0.33, 0.61, 0.58
0.38, 0.33, 0.59, 0.50
0.55, 0.54, 0.62, 0.62
0.16, 0.16, 0.38, 0.37
0.63, 0.37, 0.61, 0.50
0.25, 0.29, 0.49, 0.54
0.19, 0.00, 0.42, 0.37
0.44, 0.41, 0.54, 0.58
0.47, 0.08, 0.50, 0.37
0.49, 0.37, 0.62, 0.54
0.36, 0.37, 0.44, 0.50
0.66, 0.45, 0.57, 0.54
0.36, 0.41, 0.59, 0.58
0.41, 0.29, 0.52, 0.37
0.52, 0.08, 0.59, 0.58
0.36, 0.20, 0.49, 0.41
0.44, 0.50, 0.64, 0.70
0.49, 0.33, 0.50, 0.50
0.55, 0.20, 0.66, 0.58
0.49, 0.33, 0.62, 0.45
0.58, 0.37, 0.55, 0.50
0.63, 0.41, 0.57, 0.54
0.69, 0.33, 0.64, 0.54
0.66, 0.41, 0.67, 0.66
0.47, 0.37, 0.59, 0.58
0.38, 0.25, 0.42, 0.37
0.33, 0.16, 0.47, 0.41
0.33, 0.16, 0.45, 0.37
0.41, 0.29, 0.49, 0.45
0.47, 0.29, 0.69, 0.62
0.30, 0.41, 0.59, 0.58
0.47, 0.58, 0.59, 0.62
0.66, 0.45, 0.62, 0.58
0.55, 0.12, 0.57, 0.50
0.36, 0.41, 0.52, 0.50
0.33, 0.20, 0.50, 0.50
0.33, 0.25, 0.57, 0.45
0.49, 0.41, 0.61, 0.54
0.41, 0.25, 0.50, 0.45
0.19, 0.12, 0.38, 0.37
0.36, 0.29, 0.54, 0.50
0.38, 0.41, 0.54, 0.45
0.38, 0.37, 0.54, 0.50
0.52, 0.37, 0.55, 0.50
0.22, 0.20, 0.33, 0.41
0.38, 0.33, 0.52, 0.50
0.55, 0.54, 0.84, 1.00
0.41, 0.29, 0.69, 0.75
0.77, 0.41, 0.83, 0.83
0.55, 0.37, 0.77, 0.70
0.61, 0.41, 0.81, 0.87
0.91, 0.41, 0.94, 0.83
0.16, 0.20, 0.59, 0.66
0.83, 0.37, 0.89, 0.70
0.66, 0.20, 0.81, 0.70
0.80, 0.66, 0.86, 1.00
0.61, 0.50, 0.69, 0.79
0.58, 0.29, 0.72, 0.75
0.69, 0.41, 0.76, 0.83
0.38, 0.20, 0.67, 0.79
0.41, 0.33, 0.69, 0.95
0.58, 0.50, 0.72, 0.91
0.61, 0.41, 0.76, 0.70
0.94, 0.74, 0.96, 0.87
0.94, 0.25, 1.00, 0.91
0.47, 0.08, 0.67, 0.58
0.72, 0.50, 0.79, 0.91
0.36, 0.33, 0.66, 0.79
0.94, 0.33, 0.96, 0.79
0.55, 0.29, 0.66, 0.70
0.66, 0.54, 0.79, 0.83
0.80, 0.50, 0.84, 0.70
0.52, 0.33, 0.64, 0.70
0.49, 0.41, 0.66, 0.70
0.58, 0.33, 0.77, 0.83
0.80, 0.41, 0.81, 0.62
0.86, 0.33, 0.86, 0.75
1.00, 0.74, 0.91, 0.79
0.58, 0.33, 0.77, 0.87
0.55, 0.33, 0.69, 0.58
0.49, 0.25, 0.77, 0.54
0.94, 0.41, 0.86, 0.91
0.55, 0.58, 0.77, 0.95
0.58, 0.45, 0.76, 0.70
0.47, 0.41, 0.64, 0.70
0.72, 0.45, 0.74, 0.83
0.66, 0.45, 0.77, 0.95
0.72, 0.45, 0.69, 0.91
0.41, 0.29, 0.69, 0.75
0.69, 0.50, 0.83, 0.91
0.66, 0.54, 0.79, 1.00
0.66, 0.41, 0.71, 0.91
0.55, 0.20, 0.67, 0.75
0.61, 0.41, 0.71, 0.79
0.52, 0.58, 0.74, 0.91
0.44, 0.41, 0.69, 0.70
