0.32, 0.60, 0.38
0.07, 0.81, 0.70
0.13, 0.68, 0.73
0.18, 0.71, 0.59
0.14, 0.65, 0.81
0.00, 0.71, 0.68
0.17, 0.61, 0.72
0.21, 0.73, 0.53
0.00, 0.88, 0.70
0.04, 0.59, 0.63
0.30, 0.51, 0.50
0.10, 0.49, 0.63
0.19, 0.46, 0.50
0.31, 0.61, 0.19
0.28, 0.50, 0.74
0.15, 0.54, 0.72
0.11, 0.70, 0.49
0.10, 0.72, 0.67
0.26, 0.57, 0.56
0.18, 0.53, 0.54
0.28, 0.56, 0.56
0.30, 0.51, 0.61
0.26, 0.40, 0.73
0.36, 0.54, 0.68
0.39, 0.53, 0.60
0.30, 0.74, 0.61
0.20, 0.69, 0.63
0.10, 0.76, 0.69
0.04, 0.54, 0.82
0.07, 0.61, 0.63
0.00, 0.74, 0.68
0.17, 0.76, 0.59
0.12, 0.69, 0.56
0.10, 0.70, 0.67
0.17, 0.67, 0.60
0.04, 0.74, 0.67
0.60, 0.06, 1.00
0.73, 0.37, 0.71
0.15, 0.25, 0.56
0.54, 0.20, 0.46
0.15, 0.27, 0.77
0.39, 0.17, 0.65
0.19, 0.38, 0.38
0.07, 0.54, 0.21
0.17, 0.32, 0.53
0.57, 0.13, 0.69
0.40, 0.20, 0.80
0.33, 0.36, 0.67
0.30, 0.31, 0.61
0.32, 0.26, 0.51
0.33, 0.21, 0.56
0.55, 0.19, 0.46
0.48, 0.17, 0.28
0.57, 0.25, 0.44
0.64, 0.20, 0.55
0.34, 0.17, 0.53
0.16, 0.51, 0.47
0.53, 0.36, 0.43
0.31, 0.15, 0.66
0.44, 0.31, 0.44
0.36, 0.23, 0.59
0.48, 0.20, 0.59
0.21, 0.28, 0.39
0.26, 0.32, 0.53
0.63, 0.36, 0.34
0.49, 0.18, 0.43
0.37, 0.00, 0.36
0.45, 0.22, 0.45
0.32, 0.28, 0.43
0.22, 0.52, 0.00
0.49, 0.43, 0.52
0.43, 0.21, 0.49
0.48, 0.24, 0.41
0.67, 0.34, 0.48
0.66, 0.45, 0.70
0.78, 0.49, 0.66
0.84, 0.49, 0.60
0.75, 0.49, 0.64
0.79, 0.43, 0.68
0.89, 0.53, 0.68
1.00, 0.49, 0.55
0.77, 0.52, 0.44
0.75, 0.52, 0.69
0.85, 0.53, 0.48
0.79, 0.55, 0.61
0.77, 0.60, 0.72
0.82, 0.56, 0.67
0.81, 0.71, 0.64
0.84, 0.53, 0.69
0.97, 0.74, 0.61
0.87, 0.74, 0.69
0.61, 1.00, 0.52
0.68, 0.83, 0.56
0.78, 0.63, 0.59
0.85, 0.55, 0.48
0.80, 0.82, 0.56
0.86, 0.64, 0.73
0.75, 0.75, 0.53
0.89, 0.41, 0.65
0.80, 0.77, 0.72
0.93, 0.78, 0.64
0.82, 0.72, 0.59
0.81, 0.78, 0.65
0.90, 0.86, 0.51
