0.32, 0.60, 0.38, 0.49, 0.73, 0.32, 0.66, 0.50, 0.32, 0.56, 0.67
0.07, 0.81, 0.70, 0.49, 0.85, 0.40, 0.65, 0.57, 0.53, 0.31, 0.33
0.13, 0.68, 0.73, 0.59, 0.87, 0.26, 0.53, 0.44, 0.62, 0.97, 0.23
0.18, 0.71, 0.59, 0.41, 0.90, 0.12, 0.52, 0.50, 0.38, 0.66, 0.16
0.14, 0.65, 0.81, 0.56, 0.82, 0.36, 0.49, 0.25, 0.35, 0.69, 0.56
0.00, 0.71, 0.68, 0.54, 0.76, 0.27, 0.52, 0.25, 0.87, 0.31, 0.28
0.17, 0.61, 0.72, 0.55, 0.89, 0.34, 0.46, 0.48, 0.86, 0.49, 0.38
0.21, 0.73, 0.53, 0.44, 0.88, 0.48, 0.57, 0.45, 0.42, 0.22, 0.47
0.00, 0.88, 0.70, 0.49, 0.96, 0.44, 0.54, 0.53, 0.75, 0.00, 0.33
0.04, 0.59, 0.63, 0.45, 0.63, 0.33, 0.48, 0.36, 0.00, 0.75, 0.64
0.30, 0.51, 0.50, 0.66, 0.58, 0.11, 0.57, 0.51, 0.64, 0.69, 0.79
0.10, 0.49, 0.63, 0.59, 0.81, 0.19, 0.48, 0.47, 0.37, 0.84, 0.26
0.19, 0.46, 0.50, 0.61, 0.82, 0.24, 0.36, 0.41, 0.41, 0.86, 0.35
0.31, 0.61, 0.19, 0.43, 0.85, 0.37, 0.69, 0.46, 0.43, 0.70, 0.39
0.29, 0.50, 0.74, 0.44, 0.83, 0.25, 0.43, 0.51, 0.77, 0.40, 0.04
0.15, 0.54, 0.72, 0.58, 0.76, 0.30, 0.44, 0.35, 0.44, 0.85, 0.26
0.11, 0.70, 0.49, 0.53, 0.80, 0.45, 0.38, 0.31, 0.87, 0.30, 0.34
0.10, 0.72, 0.67, 0.45, 0.76, 0.34, 0.35, 0.47, 0.89, 0.16, 0.16
0.26, 0.58, 0.56, 0.38, 0.84, 0.25, 0.42, 0.45, 0.65, 0.58, 0.41
0.18, 0.53, 0.54, 0.59, 0.72, 0.32, 0.33, 0.42, 0.44, 0.58, 0.34
0.28, 0.56, 0.56, 0.38, 0.90, 0.33, 0.52, 0.71, 0.41, 0.61, 0.80
0.30, 0.51, 0.61, 0.40, 0.86, 0.32, 0.40, 0.55, 0.79, 0.37, 0.48
0.26, 0.40, 0.73, 0.40, 0.83, 0.31, 0.50, 0.49, 0.60, 0.36, 0.44
0.36, 0.54, 0.68, 0.72, 0.64, 0.08, 0.55, 0.45, 0.62, 0.32, 0.35
0.39, 0.53, 0.60, 0.69, 0.54, 0.15, 0.68, 0.56, 0.29, 0.48, 0.69
0.30, 0.74, 0.61, 0.67, 0.70, 0.00, 0.60, 0.46, 0.25, 0.43, 0.36
0.20, 0.69, 0.63, 0.56, 0.72, 0.44, 0.53, 0.26, 0.60, 0.52, 0.51
0.10, 0.76, 0.69, 0.54, 0.79, 0.49, 0.50, 0.41, 0.54, 0.26, 0.44
0.04, 0.54, 0.82, 0.55, 0.56, 0.51, 0.49, 0.52, 1.00, 0.44, 0.78
0.07, 0.61, 0.63, 0.54, 0.83, 0.32, 0.37, 0.35, 0.94, 0.73, 0.52
0.00, 0.74, 0.68, 0.59, 0.78, 0.43, 0.62, 0.77, 0.17, 0.24, 0.48
0.17, 0.76, 0.59, 0.44, 0.93, 0.37, 0.69, 0.57, 0.59, 0.37, 0.30
0.12, 0.69, 0.56, 0.45, 0.56, 0.39, 0.33, 0.38, 0.63, 0.46, 0.33
0.10, 0.70, 0.67, 0.50, 0.65, 0.36, 0.46, 0.45, 0.11, 0.58, 0.45
0.17, 0.67, 0.60, 0.52, 0.85, 0.35, 0.52, 0.73, 0.70, 0.29, 0.50
0.04, 0.74, 0.67, 0.50, 0.67, 0.40, 0.29, 0.73, 0.54, 0.27, 0.42
0.60, 0.06, 1.00, 0.22, 0.80, 0.36, 0.45, 0.51, 0.29, 0.32, 0.46
0.73, 0.37, 0.71, 0.31, 0.90, 0.61, 0.65, 0.53, 0.15, 0.19, 0.63
0.15, 0.25, 0.56, 0.61, 0.62, 0.54, 0.22, 0.51, 0.25, 0.10, 0.86
0.54, 0.20, 0.46, 0.27, 0.97, 0.47, 0.65, 0.35, 0.43, 0.40, 1.00
0.15, 0.27, 0.77, 0.70, 0.62, 0.62, 0.40, 0.38, 0.23, 0.48, 0.70
0.39, 0.17, 0.65, 0.59, 0.79, 0.40, 0.17, 0.43, 0.34, 0.51, 0.33
0.19, 0.38, 0.38, 0.68, 0.80, 0.37, 0.08, 0.00, 0.28, 0.57, 0.84
0.07, 0.54, 0.21, 0.32, 0.62, 0.24, 0.29, 0.10, 0.35, 0.10, 0.00
0.17, 0.32, 0.53, 0.44, 0.57, 0.35, 0.14, 0.70, 0.54, 0.19, 0.12
0.58, 0.13, 0.69, 0.28, 0.72, 0.43, 0.59, 0.46, 0.61, 0.28, 0.88
0.40, 0.20, 0.80, 0.42, 0.71, 0.50, 0.25, 0.21, 0.35, 0.51, 0.79
0.33, 0.36, 0.67, 0.05, 0.48, 0.58, 0.86, 0.36, 0.65, 0.74, 0.51
