0.32, 0.60, 0.38, 0.49, 0.73
0.07, 0.81, 0.70, 0.49, 0.85
0.13, 0.68, 0.73, 0.59, 0.87
0.18, 0.71, 0.59, 0.41, 0.90
0.14, 0.65, 0.81, 0.56, 0.82
0.00, 0.71, 0.68, 0.54, 0.76
0.17, 0.61, 0.72, 0.55, 0.89
0.21, 0.73, 0.53, 0.44, 0.88
0.00, 0.88, 0.70, 0.49, 0.96
0.04, 0.59, 0.63, 0.45, 0.63
0.30, 0.51, 0.50, 0.66, 0.57
0.10, 0.49, 0.63, 0.59, 0.81
0.19, 0.46, 0.50, 0.61, 0.82
0.31, 0.61, 0.19, 0.43, 0.85
0.28, 0.50, 0.74, 0.44, 0.83
0.15, 0.54, 0.72, 0.57, 0.76
0.11, 0.70, 0.49, 0.53, 0.80
0.10, 0.72, 0.67, 0.45, 0.76
0.26, 0.57, 0.56, 0.38, 0.84
0.18, 0.53, 0.54, 0.59, 0.72
0.28, 0.56, 0.56, 0.38, 0.90
0.30, 0.51, 0.61, 0.40, 0.86
0.26, 0.40, 0.73, 0.40, 0.83
0.36, 0.54, 0.68, 0.72, 0.64
0.39, 0.53, 0.60, 0.69, 0.54
0.30, 0.74, 0.61, 0.67, 0.70
0.20, 0.69, 0.63, 0.56, 0.72
0.10, 0.76, 0.69, 0.54, 0.79
0.04, 0.54, 0.82, 0.55, 0.56
0.07, 0.61, 0.63, 0.54, 0.83
0.00, 0.74, 0.68, 0.59, 0.78
0.17, 0.76, 0.59, 0.44, 0.93
0.12, 0.69, 0.56, 0.45, 0.56
0.10, 0.70, 0.67, 0.50, 0.65
0.17, 0.67, 0.60, 0.52, 0.85
0.04, 0.74, 0.67, 0.50, 0.67
0.60, 0.06, 1.00, 0.22, 0.80
0.73, 0.37, 0.71, 0.31, 0.90
0.15, 0.25, 0.56, 0.61, 0.62
0.54, 0.20, 0.46, 0.27, 0.97
0.15, 0.27, 0.77, 0.70, 0.62
0.39, 0.17, 0.65, 0.59, 0.79
0.19, 0.38, 0.38, 0.68, 0.80
0.07, 0.54, 0.21, 0.32, 0.62
0.17, 0.32, 0.53, 0.44, 0.56
0.57, 0.13, 0.69, 0.28, 0.72
0.40, 0.20, 0.80, 0.42, 0.71
0.33, 0.36, 0.67, 0.05, 0.48
0.30, 0.31, 0.61, 0.56, 0.72
0.32, 0.26, 0.51, 0.44, 0.50
0.33, 0.21, 0.56, 0.40, 0.79
0.55, 0.19, 0.46, 0.40, 0.84
0.48, 0.17, 0.28, 0.49, 0.89
0.57, 0.25, 0.44, 0.54, 0.82
0.64, 0.20, 0.55, 0.49, 0.84
0.34, 0.17, 0.53, 0.66, 0.54
0.16, 0.51, 0.47, 0.00, 0.36
0.53, 0.36, 0.43, 0.03, 0.47
0.31, 0.15, 0.66, 0.52, 0.69
0.44, 0.31, 0.44, 0.61, 0.62
0.36, 0.23, 0.59, 0.60, 0.72
0.48, 0.20, 0.59, 0.57, 0.72
0.21, 0.28, 0.39, 0.55, 0.56
0.26, 0.32, 0.53, 0.67, 0.00
0.63, 0.36, 0.34, 0.42, 1.00
0.49, 0.18, 0.43, 0.42, 0.80
0.37, 0.00, 0.36, 0.51, 0.89
0.45, 0.22, 0.45, 0.40, 0.62
0.32, 0.28, 0.43, 0.64, 0.51
0.22, 0.52, 0.00, 0.66, 0.64
0.49, 0.43, 0.52, 1.00, 0.32
0.43, 0.21, 0.49, 0.70, 0.63
0.48, 0.24, 0.41, 0.60, 0.62
0.67, 0.34, 0.48, 0.76, 0.61
0.66, 0.45, 0.70, 0.02, 0.61
0.78, 0.49, 0.66, 0.30, 0.60
0.84, 0.49, 0.60, 0.30, 0.62
0.75, 0.49, 0.64, 0.31, 0.51
0.79, 0.43, 0.68, 0.41, 0.88
0.89, 0.53, 0.68, 0.43, 0.86
1.00, 0.49, 0.55, 0.52, 0.75
0.77, 0.52, 0.44, 0.50, 0.85
0.75, 0.52, 0.69, 0.48, 0.82
0.85, 0.53, 0.48, 0.47, 0.92
0.79, 0.55, 0.61, 0.68, 0.73
0.77, 0.60, 0.72, 0.34, 0.49
0.82, 0.56, 0.67, 0.43, 0.60
0.81, 0.71, 0.64, 0.32, 0.43
0.84, 0.53, 0.69, 0.28, 0.69
0.97, 0.74, 0.61, 0.70, 0.61
0.87, 0.74, 0.69, 0.68, 0.61
0.61, 1.00, 0.52, 0.67, 0.62
0.68, 0.83, 0.56, 0.64, 0.65
0.78, 0.63, 0.59, 0.40, 0.89
0.85, 0.55, 0.48, 0.45, 0.84
0.80, 0.82, 0.56, 0.44, 0.67
0.86, 0.64, 0.73, 0.52, 0.70
0.75, 0.75, 0.53, 0.40, 0.70
0.89, 0.41, 0.65, 0.38, 0.66
0.80, 0.77, 0.72, 0.53, 0.78
0.93, 0.78, 0.64, 0.70, 0.67
0.82, 0.72, 0.59, 0.51, 0.63
0.81, 0.78, 0.65, 0.28, 0.67
0.90, 0.86, 0.51, 0.68, 0.73
