0,84 0,19 0,57 0,25 0,61 0,62 0,57 0,28 0,59 0,37 0,45 0,97 0,56
0,56 0,20 0,41 0,03 0,32 0,57 0,50 0,24 0,27 0,26 0,46 0,77 0,55
0,56 0,31 0,70 0,41 0,33 0,62 0,61 0,32 0,75 0,37 0,44 0,69 0,64
0,87 0,23 0,60 0,31 0,46 0,99 0,66 0,20 0,55 0,55 0,30 0,79 0,85
0,58 0,36 0,80 0,53 0,52 0,62 0,49 0,49 0,44 0,25 0,45 0,60 0,32
0,83 0,20 0,58 0,23 0,45 0,79 0,64 0,39 0,49 0,46 0,46 0,57 0,83
0,88 0,22 0,58 0,20 0,28 0,52 0,45 0,32 0,49 0,33 0,43 0,84 0,72
0,79 0,27 0,66 0,36 0,55 0,56 0,45 0,33 0,26 0,32 0,47 0,84 0,72
1,00 0,17 0,42 0,17 0,29 0,62 0,55 0,28 0,49 0,33 0,48 0,57 0,54
0,74 0,12 0,48 0,27 0,30 0,69 0,59 0,16 0,45 0,50 0,43 0,83 0,54
0,80 0,28 0,49 0,38 0,38 0,68 0,62 0,16 0,61 0,38 0,62 0,69 0,87
0,81 0,14 0,50 0,31 0,27 0,42 0,44 0,24 0,36 0,31 0,55 0,56 0,71
0,71 0,19 0,56 0,27 0,20 0,56 0,50 0,28 0,44 0,36 0,53 0,59 0,74
0,97 0,19 0,55 0,04 0,22 0,73 0,70 0,56 0,75 0,35 0,62 0,53 0,62
0,88 0,22 0,54 0,07 0,34 0,79 0,69 0,28 0,80 0,53 0,57 0,63 0,90
0,68 0,21 0,71 0,34 0,45 0,64 0,54 0,32 0,33 0,51 0,65 0,58 0,73
0,86 0,23 0,72 0,48 0,54 0,62 0,59 0,37 0,49 0,41 0,47 0,50 0,71
0,73 0,16 0,67 0,48 0,48 0,68 0,64 0,50 0,41 0,45 0,52 0,47 0,60
0,82 0,16 0,59 0,30 0,41 0,79 0,75 0,35 0,45 0,63 0,60 0,56 1,00
0,68 0,46 0,64 0,23 0,50 0,59 0,56 0,07 0,39 0,32 0,39 0,76 0,40
0,79 0,17 0,48 0,27 0,60 0,69 0,59 0,20 0,53 0,37 0,49 0,89 0,35
0,49 0,60 0,68 0,41 0,34 0,49 0,43 0,22 0,49 0,27 0,44 0,82 0,35
0,70 0,22 0,52 0,30 0,33 0,56 0,53 0,26 0,40 0,21 0,51 1,00 0,53
0,47 0,17 0,62 0,37 0,27 0,51 0,42 0,24 0,33 0,22 0,49 0,86 0,52
0,65 0,21 0,66 0,48 0,28 0,53 0,47 0,28 0,39 0,19 0,52 0,93 0,40
0,53 0,25 0,99 0,74 0,58 0,56 0,49 0,64 0,47 0,19 0,52 0,70 0,39
0,62 0,20 0,67 0,28 0,25 0,64 0,54 0,39 0,32 0,29 0,35 0,71 0,65
0,59 0,19 0,41 0,33 0,26 0,48 0,38 0,26 0,29 0,22 0,43 0,54 0,71
0,74 0,22 0,76 0,45 0,40 0,68 0,55 0,45 0,42 0,27 0,62 0,77 0,45
0,78 0,18 0,44 0,27 0,28 0,57 0,41 0,24 0,49 0,29 0,45 0,84 0,53
0,71 0,15 0,71 0,61 0,33 0,69 0,61 0,28 0,61 0,37 0,56 0,52 0,71
0,67 0,18 0,52 0,43 0,39 0,64 0,59 0,16 0,48 0,47 0,49 0,58 0,88
0,69 0,21 0,52 0,34 0,36 0,49 0,49 0,54 0,49 0,21 0,60 0,58 0,50
0,71 0,15 0,71 0,45 0,67 0,68 0,50 0,69 0,29 0,35 0,62 0,63 0,68
0,65 0,20 0,68 0,43 0,43 0,47 0,45 0,28 0,35 0,24 0,50 0,58 0,58
0,64 0,21 0,56 0,51 0,32 0,59 0,55 0,24 0,45 0,32 0,45 0,80 0,45
0,59 0,17 0,78 0,25 0,43 0,56 0,49 0,39 0,29 0,28 0,49 0,54 0,42
0,53 0,17 0,63 0,38 0,30 0,50 0,44 0,28 0,32 0,25 0,52 0,45 0,58
0,53 0,15 0,39 0,25 0,30 0,48 0,48 0,28 0,30 0,20 0,56 0,52 0,52
0,83 0,64 0,60 0,13 0,63 0,69 0,56 0,13 0,52 0,32 0,33 0,82 0,34
0,66 0,19 0,50 0,28 0,51 0,74 0,62 0,39 0,60 0,41 0,38 0,76 0,36
0,62 0,61 0,40 0,42 0,21 0,50 0,49 0,26 0,33 0,25 0,34 0,63 0,53
0,75 0,22 0,65 0,22 0,33 0,78 0,67 0,07 0,40 0,35 0,32 0,83 0,58
0,58 0,64 0,49 0,35 0,35 0,57 0,48 0,35 0,39 0,26 0,27 0,63 0,28
0,53 0,20 0,39 0,33 0,40 0,69 0,56 0,28 0,50 0,32 0,32 0,76 0,43
0,83 0,65 0,57 0,42 0,44 0,64 0,48 0,32 0,26 0,33 0,31 0,75 0,57
0,88 0,56 0,48 0,27 0,34 0,78 0,59 0,26 0,55 0,30 0,45 0,79 0,56
0,75 0,18 0,40 0,27 0,33 0,73 0,64 0,15 0,54 0,41 0,34 0,75 0,50
0,80 0,25 0,55 0,42 0,35 0,61 0,54 0,35 0,61 0,41 0,47 0,54 0,55
0,76 0,19 0,48 0,35 0,41 0,65 0,67 0,35 0,52 0,65 0,52 0,67 0,70
0,53 0,19 0,36 0,09 0,23 0,60 0,61 0,07 0,78 0,50 0,52 0,60 0,62
0,73 0,17 0,66 0,34 0,26 0,50 0,55 0,16 0,59 0,36 0,61 0,76 0,70
0,73 0,19 0,56 0,17 0,44 1,00 0,71 0,35 0,46 0,49 0,43 0,72 0,65
0,71 0,22 0,70 0,33 0,48 0,69 0,51 0,49 0,40 0,42 0,52 0,60 0,78
0,71 0,18 0,47 0,29 0,52 0,56 0,53 0,15 0,38 0,38 0,35 0,70 0,55
0,66 0,19 0,58 0,51 0,50 0,68 0,51 0,13 0,64 0,42 0,40 0,64 0,60
0,83 0,19 0,49 0,29 0,52 0,76 0,56 0,24 0,50 0,43 0,37 0,74 0,49
0,59 0,24 0,70 0,31 0,34 0,69 0,60 0,33 0,39 0,40 0,47 0,57 0,70
0,70 0,13 0,60 0,31 0,41 0,83 0,70 0,11 0,51 0,47 0,33 0,58 0,71
0,35 0,03 0,00 0,00 0,19 0,34 0,04 0,28 0,00 0,05 0,46 0,20 0,17
0,34 0,07 0,48 0,27 0,33 0,36 0,15 0,94 -0,00 0,16 0,62 0,14 0,28
0,42 0,12 0,35 0,31 0,32 0,35 0,22 0,75 0,06 0,38 0,40 0,11 0,12
0,69 0,10 0,29 0,38 0,26 0,38 0,30 0,35 0,10 0,21 0,60 0,43 0,25
0,35 0,07 0,42 0,43 0,18 0,87 0,58 0,11 0,46 0,27 0,59 0,58 0,10
